Data Source name,Date,Campaign Name,Campaign Effective Status,Ad Set Name,Ad Name,Country Funnel,Geo Location Segment,FB Spent Funnel (INR),Amount Spent (INR),Clicks (all),Impressions,Page Likes,Landing Page Views,Link Clicks,Adds to Cart,Checkouts Initiated,Adds of Payment Info,Purchases,Purchases Conversion Value (INR),Website Contacts,Messaging Conversations Started,Adds to Cart Conversion Value (INR),Checkouts Initiated Conversion Value (INR),Adds of Payment Info Conversion Value (INR),Row Count
Brand A,17-01-2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | OPEN | Sale | Women,Catalogue | Price || 7k+ || Active | Instock,India,india,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0
Brand A,25-01-2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | OPEN | Sale | Women,Catalogue | Best Seller | In Stock,India,India,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.0,,0.0,0.0,0.0,,1.0
  BRAND A  ,17-01-2026,Growify | 4th October 25 | MOF | Sales | INDIA,PAUSED,,Custom | Video 1 | EOSS | 15th Dec 25 – Copy,India,india,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,1.0
Brand A,18-01-2026,Growify | 4th October 25 | MOF | Sales | INDIA,,mof | cd | sales - women,Custom | Video 1 | EOSS | 15th Dec 25 – Copy,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,24-01-2026,Growify | 4th October | TOF | INDIA | Sales,PAUSED,TOF | OPEN | Sale | Women,Video | Karishma kapoor | 23rd October 25,India,India,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0
Brand A,25-01-2026,Growify | 4th October | TOF | INDIA | Sales,PAUSED,TOF | OPEN | Sale | Women,Video | Karishma kapoor | 23rd October 25,India,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,1.0
Brand A,23-01-2026,Growify | 4th October | TOF | INDIA | Sales,PAUSED,TOF | OPEN | Sale | Women,Video | Karishma kapoor | 23rd October 25,India,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,82.0,,,0.0,0.0,0.0,,1.0
Brand A,22-01-2026,  GROWIFY | 4TH OCTOBER | TOF | INDIA | SALES  ,PAUSED,TOF | Open | Sales | Women,Video | Karishma kapoor | 23rd October 25 – Copy,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,66.0
Brand A,20-01-2026,Growify | 4th October | TOF | INDIA | Sales,PAUSED,TOF | Open | Sales | Women,Video | Karishma kapoor | 23rd October 25 – Copy,India,India,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,  NAN  ,Growify | 4th October | TOF | INDIA | Sales,PAUSED,,Reel | also.alpa | 4th October 25,  INDIA  ,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,
Brand A,02-01-2026,Growify | 9th October 25 | MOF | Sales | Women,PAUSED,MOF | Whtsapp CD | Sales - Women,Custom | Video 1 | EOSS | 15th Dec 25 – Copy,  INDIA  ,India,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
brand a,19-01-2026,Growify | 9th October 25 | MOF | Sales | Women,PAUSED,  MOF | WHTSAPP CD | SALES - WOMEN  ,Custom | Video 1 | EOSS | 15th Dec 25 – Copy,India,India,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,17-01-2026,Growify | 9th October 25 | MOF | Sales | Women,,MOF | Whtsapp CD | Sales - Women,Custom | Video 1 | EOSS | 15th Dec 25 – Copy,,India,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,3.0,0.0,,0.0,0.0,,0.0,,0.0,,1.0
Brand A,20-01-2026,Growify | 9th October 25 | MOF | Sales | Women,PAUSED,MOF | Whtsapp CD | Sales - Women,,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,-0.0,0.0,0.0,0.0,1.0
Brand A,17-01-2026,Growify | MOF + BOF | Conversion | India,ACTIVE,MOF + BOF | New Collection | Catalogue Only,Custom | Catalog | EOSS | 15th Dec 25,India,India,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,1.0
Brand A,08-01-2026,Growify | MOF + BOF | Conversion | India,ACTIVE,MOF + BOF | New Collection | Catalogue Only,Custom | Catalog | EOSS | 15th Dec 25,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.0,0.0,,1.0
Brand A,09-01-2026,,ACTIVE,MOF + BOF | New Collection | Catalogue Only,Custom | Catalog | EOSS | 15th Dec 25,India,india,0.0,0.0,0.0,,0.0,-0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,66.0
Brand A,10-01-2026,Growify | MOF + BOF | Conversion | India,,MOF + BOF | New Collection | Catalogue Only,Custom | Catalog | EOSS | 15th Dec 25,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,02-01-2026,Growify | MOF + BOF | Conversion | India,ACTIVE,MOF + BOF | RT > Video Only,  CUSTOM | VIDEO 1 | EOSS | 15TH DEC 25  ,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,03-01-2026,growify | mof + bof | conversion | india,ACTIVE,MOF + BOF | RT > Video Only,Custom | Video 1 | EOSS | 15th Dec 25,,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
,04-01-2026,Growify | MOF + BOF | Conversion | India,active,MOF + BOF | RT > Video Only,Custom | Video 1 | EOSS | 15th Dec 25,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0
Brand A,,Growify | MOF + BOF | Conversion | India,ACTIVE,MOF + BOF | RT > Video Only,Custom | Video 1 | EOSS | 15th Dec 25,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,9270.0,,0.0,20320.0,0.0,0.0,1.0
brand a,21-01-2026,Growify | MOF + BOF | Conversion | India,,MOF + BOF | RT > Video Only,Custom | Video 2 | EOSS | 15th Dec 25,India,India,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,-0.0,,0.0,,0.0,,1.0
Brand A,19-01-2026,Growify | MOF + BOF | Conversion | India,ACTIVE,MOF + BOF | RT > Video Only,Custom | Video 2 | EOSS | 15th Dec 25,india,India,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,01-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Apparel,Catalogue | Best Seller | In Stock,India,India,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0,,0.0,0.0,0.0,0.0,-1.0
Brand A,17-01-2026,Growify | TOF | Conversion | India,ACTIVE,,Catalogue | All Product - ( Exclude Stole) | Instock,  INDIA  ,India,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,1.0
Brand A,28-01-2026,Growify | TOF | Conversion | India,,Ecomm | Engaged,Catalogue | Price || 7k+ || Active | Instock – Copy 2,India,India,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,66.0
brand a,31-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Engaged,Catalogue | Price || 7k+ || Active | Instock – Copy 2,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,-0.0,0.0,1.0
brand a,30-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Engaged,Catalogue | Price || 7k+ || Active | Instock – Copy 2,India,India,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0
Brand A,01-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Home Essential,  CATALOG | CAR | CAMPAIGN SHOOT | MIX | MIX | SUMMER | PDP  ,India,India,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,18-01-2026,,ACTIVE,Ecomm | Home Essential,Custom | Carousel | EOSS | 15th Dec25 – Copy 2,  INDIA  ,India,0.0,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
Brand A,16-01-2026,Growify | TOF | Conversion | India,ACTIVE,ecomm | home essential,Custom | Carousel | EOSS | 15th Dec25 – Copy 2,India,India,0.0,-0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,01-01-2026,Growify | TOF | Conversion | India,,Ecomm | Home Essential,Custom | Carousel | EOSS | 15th Dec25 – Copy 2,  INDIA  ,India,-0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0
,29-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Hotel,Catalogue | Price || 7k+ || Active | Instock – Copy 2,India,India,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,66.0
Brand A,30-01-2026,,ACTIVE,Ecomm | Hotel,Catalogue | Price || 7k+ || Active | Instock – Copy 2,India,india,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,0.0,0.0,0.0,0.0,66.0
Brand A,31-01-2026,growify | tof | conversion | india,ACTIVE,Ecomm | Hotel,Catalogue | Price || 7k+ || Active | Instock – Copy 2,India,India,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,66.0
Brand A,26-01-2026,,ACTIVE,Ecomm | Jewelery,Catalogue | Set + Dress || Active | Instock,India,India,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,1.0
Brand A,22-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Jewelery,Catalogue | Set + Dress || Active | Instock,India,India,0.0,-0.0,0.0,0.0,0.0,,,-0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,1.0
Brand A,23-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Jewelery,Catalogue | Set + Dress || Active | Instock,India,India,0.0,0.0,,0.0,0.0,-0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,1.0
Brand A,24-01-2026,  GROWIFY | TOF | CONVERSION | INDIA  ,ACTIVE,Ecomm | Jewelery,Catalogue | Set + Dress || Active | Instock,India,India,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,1.0
Brand A,,Growify | TOF | Conversion | India,ACTIVE,,Catalogue | Set + Dress || Active | Instock,India,  INDIA  ,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,1.0
Brand A,28-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Travel,Catalogue | Price || 7k+ || Active | Instock – Copy,India,India,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,,0.0,-0.0,,0.0,-18000.0,,,1.0
Brand A,29-01-2026,  GROWIFY | TOF | CONVERSION | INDIA  ,ACTIVE,Ecomm | Travel,Catalogue | Price || 7k+ || Active | Instock – Copy,India,India,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,1.0
Brand A,30-01-2026,Growify | TOF | Conversion | India,,Ecomm | Travel,Catalogue | Price || 7k+ || Active | Instock – Copy,India,India,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,17-01-2026,Growify | TOF | Conversion | India,ACTIVE,TOF | INDIA | IOS,Catalogue | All Product | Instock,India,India,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,0.0,,0.0,-28080.0,0.0,,-66.0
brand a,24-01-2026,,ACTIVE,TOF | INDIA | Marketplace,  CATALOGUE | PRICE || 7K+ || ACTIVE | INSTOCK – COPY  ,India,India,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,1.0
Brand A,17-01-2026,Growify | TOF | INDIA | OPEN | SALES,PAUSED,TOF | INDIA | OPEN AUDENCE,Catalogue | Price || 7k+ || Active | Instock,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0
Brand A,20-01-2026,Growify | TOF | INDIA | OPEN | SALES,paused,TOF | INDIA | OPEN AUDENCE,,india,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,,0.0,-0.0,0.0,14000.0,1.0
Brand A,01-01-2026,Growify | TOF | INDIA | OPEN | SALES,PAUSED,TOF | INDIA | OPEN AUDENCE,nan,India,India,0.0,0.0,0.0,,0.0,0.0,-0.0,3.0,0.0,0.0,0.0,0.0,,0.0,17120.0,,,1.0
Brand A,18-01-2026,growify | 2nd december | abo | sale,PAUSED,TOF | OPEN | Sale | Women,Catalogue | Best Seller | In Stock,India,,0.06,0.06,100.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0
brand a,13-01-2026,Growify | 11th June | TOF | ABO | INDIA | LAL 3% - 5% | SALES,PAUSED,tof | lal 3-5% | sales | womens,,India,India,0.13,0.13,0.0,-1.0,0.0,0.0,-0.0,0.0,,,,0.0,,0.0,,,,1.0
,11-01-2026,Growify | 9th October 25 | MOF | Sales | Women,PAUSED,MOF | Whtsapp CD | Sales - Women,Custom | Video 2 | EOSS | 15th Dec 25 – Copy,India,  INDIA  ,0.16,0.16,0.0,,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.0,0.0,0.0,1.0
Brand A,24-01-2026,Growify | BOF | Conversion | India,ACTIVE,Ecomm | Viewed + ATC - 180 Days,Catalog | CAR | Campaign Shoot | Mix | Mix | Summer | PDP | Deepak Maurya,India,India,0.3,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,1.0
Brand A,27-01-2026,Growify | 24th Jan 26 | Tof | Sales | India,PAUSED,TOF | INDIA | WOMEN | Maximum value of Conversions | Purchase,Video | esha |,India,  INDIA  ,0.37,0.37,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,1.0
Brand A,27-01-2026,Growify | TOF | Conversion | India,,Ecomm | Engaged,Catalogue | Best Seller | In Stock – Copy 2,India,India,0.86,0.86,0.0,1.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,66.0
Brand A,13-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Travel,  CUSTOM | CAROUSEL | EOSS | 15TH DEC25  ,India,,0.9,0.9,0.0,3.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,1.0
Brand A,27-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Hotel,Catalogue | Best Seller | In Stock – Copy 2,India,India,1.12,1.12,0.0,4.0,,-0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,1.0
Brand A,27-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Engaged,Catalogue | Price || 7k+ || Active | Instock – Copy 2,,India,1.75,1.75,0.0,4.0,,0.0,,2.0,,,0.0,0.0,,0.0,16800.0,,,1.0
Brand A,06-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Travel,Custom | Carousel | EOSS | 15th Dec25,India,India,-1.78,1.78,,10.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,66.0
Brand A,15-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Home Essential,Custom | Carousel | EOSS | 15th Dec25 – Copy 2,India,India,1.91,1.91,2.0,1160.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,27-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Travel,Catalogue | Price || 7k+ || Active | Instock – Copy,India,  INDIA  ,2.41,2.41,1.0,5.0,,1.0,1.0,1.0,,,0.0,,,0.0,9000.0,,,1.0
Brand A,13-01-2026,Growify | 9th October 25 | MOF | Sales | Women,paused,MOF | Whtsapp CD | Sales - Women,Custom | Carousel | EOSS | 15th Dec25 – Copy,India,India,,,0.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,
Brand A,19-01-2026,Growify | 4th October | TOF | INDIA | Sales,PAUSED,TOF | Open | Sales | Women,Reel | also.alpa | 4th October 25,India,India,374.4,,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-1.0
Brand A,27-01-2026,Growify | 24th Jan 26 | Tof | Sales | India,  PAUSED  ,TOF | INDIA | WOMEN | Maximum value of Conversions | Purchase,Video | Pooja Hedge | 24th Jan 26,India,  INDIA  ,5.07,5.07,0.0,5.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,66.0
Brand A,04-01-2026,Growify | TOF | Conversion | India,,Ecomm | Travel,Custom | Carousel | EOSS | 15th Dec25,India,India,6.8,6.8,3.0,19.0,0.0,195.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0,1.0
Brand A,20-01-2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | Engaged shoppers| Sale | Women,Catalogue | Set + Dress || Active | Instock,India,India,674.88,7.03,2.0,17.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
,07-01-2026,,ACTIVE,  ECOMM | TRAVEL  ,Custom | Carousel | EOSS | 15th Dec25,india,India,7.06,,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
  BRAND A  ,14-01-2026,Growify | TOF | Conversion | India,nan,Ecomm | Home Essential,Custom | Carousel | EOSS | 15th Dec25 – Copy 2,India,India,7.44,7.44,2.0,28.0,0.0,,2.0,4.0,,0.0,0.0,,,0.0,24016.0,,0.0,1.0
  BRAND A  ,14-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Travel,  CUSTOM | CAROUSEL | EOSS | 15TH DEC25  ,India,India,8.0,8.0,1.0,,0.0,-1.0,-1.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,1.0
Brand A,23-01-2026,Growify | 2nd December | ABO | Sale,  PAUSED  ,TOF | OPEN | Sale | Women,Catalogue | Price || 7k+ || Active | Instock,India,India,8.51,8.51,200.0,22.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0
Brand A,03-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Travel,Custom | Carousel | EOSS | 15th Dec25,India,India,,9.36,100.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
  BRAND A  ,05-01-2026,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Travel,Custom | Carousel | EOSS | 15th Dec25,India,  INDIA  ,11.95,11.95,0.0,24.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
  BRAND A  ,24-01-2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | OPEN | Sale | Women,Catalogue | Best Seller | In Stock,India,India,13.01,13.01,1.0,22.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,,-0.0,0.0,0.0,,1.0
Brand A,  27-01-2026  ,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Hotel,  CATALOGUE | PRICE || 7K+ || ACTIVE | INSTOCK – COPY 2  ,India,India,15.79,15.79,-1.0,7.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,
