Data Source name,Date,Campaign Name,Campaign Effective Status,Ad Set Name,Ad Name,Country Funnel,Geo Location Segment,FB Spent Funnel (INR),Amount Spent (INR),Clicks (all),Impressions,Page Likes,Landing Page Views,Link Clicks,Adds to Cart,Checkouts Initiated,Adds of Payment Info,Purchases,Purchases Conversion Value (INR),Website Contacts,Messaging Conversations Started,Adds to Cart Conversion Value (INR),Checkouts Initiated Conversion Value (INR),Adds of Payment Info Conversion Value (INR),Row Count,ParsedDate
Brand A,,Growify | 23rd Sept | TOF | ABO | Sales,PAUSED,Market Places - TOF - Sales - Growify,Custom | Catalog | 15th Dec 25,India,India,1088.67,1088.67,87.0,1817.0,0.0,79.0,82.0,5.0,0.0,,0.0,0.0,,0.0,5260840.0,,0.0,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | OTT & Social,Catalog | CAR | Campaign Shoot | Kurta Sets | Mix | Summer | PDP | Deepak Maurya,India,India,1495.7,1495.7,53.0,,,43.0,49.0,2.0,,,0.0,0.0,,0.0,20300.0,,,-1.0,
,,Growify | TOF | Conversion | India,ACTIVE,,Catalog | CAR | Campaign Shoot | Kurta Sets | Mix | Summer | PDP | Deepak Maurya,,India,1643.98,1643.98,8700.0,1573.0,0.0,89.0,92.0,4.0,,,0.0,0.0,,0.0,39300.0,-0.0,,1.0,
brand a,,Growify | TOF | Conversion | India,ACTIVE,,Catalogue | All Product | Instock,India,India,168328.32,1753.42,87.0,1155.0,0.0,74.0,72.0,20.0,0.0,0.0,3.0,20210.0,,0.0,130272.0,0.0,0.0,,
Brand A,,Growify | 9th October 25 | MOF | Sales | Women,PAUSED,MOF | Whtsapp CD | Sales - Women,Custom | Video 2 | EOSS | 15th Dec 25 – Copy,India,India,1822.93,1822.93,36.0,1359.0,0.0,29.0,3348.0,1782.0,0.0,0.0,4.0,43520.0,,0.0,,0.0,0.0,1.0,
Brand A,,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,,India,,2123.659999,2123.659999,87.0,2381.0,0.0,-69.0,74.0,12.0,1.0,0.0,1.0,26592.0,,0.0,86012.0,41240.0,0.0,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Travel,Catalogue | Price || 7k+ || Active | Instock – Copy,India,India,2216.01,2216.01,156.0,2128.0,0.0,138.0,142.0,990.0,2.0,,1.0,21000.0,,0.0,40520.0,-11200.0,,,
Brand A,,Growify | MOF + BOF | Conversion | India,  ACTIVE  ,MOF + BOF | New Collection | Catalogue Only,Custom | Catalog | EOSS | 15th Dec 25,India,,2238.7,2238.7,177.0,3861.0,0.0,155.0,167.0,10.0,,,1.0,6870.0,,,67040.0,,,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Jewelery,Catalogue | Set + Dress || Active | Instock,India,India,,2342.6,14000.0,2549.0,0.0,131.0,,13.0,0.0,0.0,-2.0,12310.0,,1.0,92000.0,0.0,0.0,1.0,
Brand A,,Growify | 23rd Sept | TOF | ABO | Sales,PAUSED,Market Places - TOF - Sales - Growify,custom | catalog | 15th dec 25,India,India,2838.31,428584.81,99.0,2513.0,0.0,77.0,89.0,2970.0,0.0,,-2.0,30050.0,,,137130.0,0.0,,1.0,
  BRAND A  ,,Growify | 4th October | TOF | INDIA | Sales,PAUSED,TOF | OPEN | Sale | Women,Video | Karishma kapoor | 23rd October 25,India,India,3215.18,-3215.18,3255600.0,500947.0,0.0,15717.0,30090.0,10.0,0.0,,1.0,11450.0,,0.0,115300.0,0.0,,1.0,
Brand A,  NAN  ,Growify | TOF | Conversion | India,,Ecomm | Apparel,Catalogue | Best Seller | In Stock,India,India,3284.46,3284.46,158.0,3382.0,0.0,135.0,148.0,1188.0,0.0,0.0,,7750.0,,-0.0,44250.0,0.0,0.0,1.0,
Brand A,,Growify | TOF | Conversion | India,,Ecomm | Home Essential,Catalog | CAR | Campaign Shoot | Mix | Mix | Summer | PDP,India,India,4196.12,633614.12,122.0,3296.0,0.0,99.0,11772.0,6.0,0.0,0.0,0.0,0.0,,0.0,6496020.0,0.0,0.0,1.0,
Brand A,,,ACTIVE,Ecomm | Home Essential,Catalog | CAR | Campaign Shoot | Mix | Mix | Summer | PDP,India,India,4382.72,4382.72,184.0,423110.0,0.0,148.0,171.0,26.0,,,,16380.0,,0.0,188212.0,,,1.0,
Brand A,,,active,ecomm | home essential,,India,India,500479.68,5213.33,13500.0,3245.0,0.0,127.0,130.0,21.0,,,,15020.0,,0.0,,,,1.0,
Brand A,  NAN  ,Growify | TOF | Conversion | India,active,Ecomm | Beauty and Personal Care,Catalogue | All Product - ( Exclude Stole) | Instock,India,India,6401.76,6401.76,319.0,5824.0,1.0,53430.0,305.0,28.0,0.0,0.0,,20700.0,,0.0,177967.31,0.0,0.0,1.0,
Brand A,,Growify | 4th October | TOF | INDIA | Sales,,TOF | OPEN | Sale | Women,Video | Karishma kapoor | 23rd October 25,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,1.0,
Brand A,,Growify | MOF + BOF | Engagemnet | INTL,PAUSED,Whatsapp | Customer Data,,Australia,Rest of the World,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,
Brand A,  NAN  ,Growify | MOF + BOF | Engagemnet | INTL,,Whatsapp | Customer Data,Custom | Single Image | Campaign Shoot | Kurta Sets | Sofia's Garden | Summer | PDP | Deepak Maurya,Australia,Rest of the World,3902.4,40.65,0.0,33.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,
Brand A,,  GROWIFY | MOF + BOF | ENGAGEMNET | INTL  ,paused,Whatsapp | Customer Data,Custom | Video | Influencer | Kurta Set | J'adore | Summer | PDP | Hasan,Australia,Rest of the World,,-145.4,2.0,71.0,,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,,0.0,0.0,,0.0,1.0,
Brand A,,Growify | MOF + BOF | Engagemnet | INTL,PAUSED,Whatsapp | Customer Data,Custom | Video | Influencer | Kurta Set | Ukiyo | Summer | PDP | Hasan,,Rest of the World,,175.19,20.0,143.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,,0.0,1.0,
Brand A,,Growify | MOF + BOF | Engagemnet | INTL,PAUSED,Whatsapp | Customer Data,Custom | Video | Influencer | Kurta Set | J'adore | Summer | PDP | Hasan,,Rest of the World,217.46,,10.0,168.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Beauty and Personal Care,Custom | CAR | Campaign Shoot | Mix | Sofia's Garden | Summer | PDP | Deepak Maurya,India,India,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,
Brand A,,,ACTIVE,Ecomm | Beauty and Personal Care,Custom | CAR | Campaign Shoot | Mix | Sofia's Garden | Summer | PDP | Deepak Maurya,India,India,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Home Essential,Video | Pooja Hegde | 19th Feb 26 – Copy,India,India,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,1.0,
Brand A,,Growify | TOF | Traffic | India,ACTIVE,Ecomm | Women Innerwear,Custom | Video | Celeb | Kurta Set | Cotswold | Summer | PDP | Hasan,India,  INDIA  ,10.07,10.07,1.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,
Brand A,  NAN  ,Growify | TOF | Traffic | India,ACTIVE,Ecomm | Women Innerwear,Custom | Video | Celeb | Kurta Set | Cotswold | Summer | PDP | Hasan,India,India,29.35,29.35,,,0.0,6.0,5.0,0.0,-0.0,0.0,,0.0,,0.0,0.0,,0.0,1.0,
brand a,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | OTT & Social,Custom | CAR | Campaign Shoot | Mix | Mix | Summer | PDP | Rohit Malik,India,India,30.67,30.67,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,1.0,
Brand A,,Growify | TOF | Traffic | India,ACTIVE,Ecomm | Women Innerwear,Custom | Video | Celeb | Kurta Set | Cotswold | Summer | PDP | Hasan,India,India,-33.88,33.88,6.0,77.0,0.0,4.0,5.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,1.0,
Brand A,,growify | tof | traffic | india,ACTIVE,ecomm | women innerwear,Custom | Video | Celeb | Kurta Set | Cotswold | Summer | PDP | Hasan,India,India,70.53,10650.03,14.0,25520.0,0.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,,0.0,8600.0,,0.0,1.0,
Brand A,,  GROWIFY | TOF | TRAFFIC | INDIA  ,ACTIVE,  ECOMM | WOMEN INNERWEAR  ,Custom | Video | Influencer | Kurta Set | Ukiyo | Summer | PDP | Hasan,India,India,81.41,81.41,10.0,,,7.0,6.0,0.0,0.0,-0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,
Brand A,,Growify | TOF | Traffic | India,ACTIVE,ecomm | women innerwear,Custom | Video | Celeb | Kurta Set | Cotswold | Summer | PDP | Hasan,India,India,107.69,107.69,18.0,330.0,,14.0,1512.0,,,0.0,0.0,0.0,,0.0,17200.0,,0.0,-1.0,
Brand A,,Growify | TOF | Store Engagement | India,ACTIVE,Brand Visibility | Designer Clothing,Custom | Single Image | Influencer | Mix | J'adore | Summer | PDP,India,India,,-120.66,9.0,10381.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,
Brand A,,Growify | TOF | Traffic | India,ACTIVE,Ecomm | Women Innerwear,Custom | Video | Influencer | Kurta Set | Ukiyo | Summer | PDP | Hasan,India,India,183.69,183.69,5000.0,615.0,0.0,38.0,43.0,198.0,0.0,0.0,0.0,0.0,,0.0,8000.0,,0.0,1.0,
Brand A,,Growify | TOF | Store Awareness | India,PAUSED,Brand Visibility | Designer Brands,Custom | Single Image | Store | Mix | Mix | Summer | PDP,India,India,,241.4,-55.0,,,0.0,22.0,0.0,,,0.0,-0.0,,0.0,0.0,,0.0,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Home Essential,Video | Pooja Hegde | 19th Feb 26 – Copy,India,India,34774.08,362.23,1600.0,307.0,0.0,13.0,1620.0,,0.0,0.0,0.0,0.0,,0.0,10840.0,,0.0,-1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Home Essential,Video | Pooja Hegde | 19th Feb 26 – Copy,India,India,419.16,419.16,20.0,591.0,0.0,13.0,14.0,0.0,0.0,-0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | OTT & Social,Custom | Video | Influencer | Kurta Set | Lumière | Summer | PDP | Hasan,India,India,695.17,695.17,-21.0,408.0,0.0,15.0,-15.0,396.0,0.0,0.0,0.0,0.0,,0.0,18000.0,,0.0,1.0,
,,Growify | TOF | Conversion | India,active,Ecomm | OTT & Social,Custom | Video | Influencer | Kurta Set | Lumière | Summer | PDP | Hasan,India,India,783.21,783.21,39.0,1021.0,0.0,37.0,29.0,594.0,0.0,0.0,0.0,0.0,,0.0,24000.0,,0.0,1.0,
Brand A,,Growify | TOF | Traffic | India,ACTIVE,Ecomm | Women Innerwear,Catalog | CAR | Campaign Shoot | Mix | Mix | Summer | PDP | Ayush Kashyap,India,India,873.86,873.86,279.0,2157.0,0.0,238.0,27432.0,3366.0,0.0,0.0,0.0,0.0,,0.0,149100.0,,0.0,66.0,
Brand A,,Growify | TOF | Brand Awareness | India,ACTIVE,Brand Visibility | Designer Clothing,Custom | Single Image | Campaign Shoot | Kurta Set | Sofia's Garden | Summer | PDP | Deepak Maurya,India,india,,926.15,1199.0,119553.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | OTT & Social,,India,India,1156.1,1156.1,37.0,949.0,0.0,,30.0,198.0,,0.0,0.0,0.0,,0.0,-8600.0,,0.0,1.0,
Brand A,,Growify | TOF | Traffic | India,ACTIVE,Ecomm | Women Innerwear,,India,India,1339.74,1339.74,322.0,3526.0,-0.0,311.0,306.0,16.0,0.0,0.0,0.0,0.0,,1.0,-145920.0,,-0.0,66.0,
Brand A,,Growify | BOF | Conversion | India,ACTIVE,Ecomm | Viewed + ATC - 180 Days,catalog | car | campaign shoot | mix | mix | summer | pdp | deepak maurya,India,India,1522.89,229956.39,41.0,870.0,0.0,37.0,35.0,4.0,,0.0,1.0,,,0.0,37200.0,,0.0,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,ecomm | beauty and personal care,Custom | CAR | Campaign Shoot | Mix | Sofia's Garden | Summer | PDP | Deepak Maurya,India,India,1599.01,1599.01,4500.0,1984.0,0.0,7215.0,38.0,1.0,0.0,0.0,0.0,0.0,,0.0,9200.0,,0.0,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | OTT & Social,Custom | Video | Celeb | Kurta Set | Cotswold | Summer | PDP | Hasan,India,India,1912.08,1912.08,104.0,2170.0,0.0,85.0,-86.0,7.0,0.0,0.0,0.0,0.0,,2.0,61700.0,,,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | OTT & Social,Custom | Video | Influencer | Kurta Set | Lumière | Summer | PDP | Hasan,India,India,2896.61,,118.0,2531.0,0.0,-89.0,91.0,,-0.0,0.0,0.0,0.0,,0.0,16200.0,,0.0,66.0,
Brand A,,Growify | BOF | Conversion | India,ACTIVE,Ecomm | Viewed + ATC - 180 Days,,India,india,4570.21,4570.21,191.0,,0.0,158.0,176.0,22.0,0.0,0.0,2.0,17100.0,,0.0,198200.0,,0.0,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Home Essential,Catalog | CAR | Campaign Shoot | Mix | Mix | Summer | PDP,India,India,537200.64,5595.84,174.0,3988.0,,135.0,16740.0,14.0,0.0,0.0,3.0,24030.0,,0.0,-128300.0,0.0,0.0,1.0,
Brand A,,Growify | BOF | Conversion | India,ACTIVE,Ecomm | Viewed + ATC - 180 Days,Catalog | CAR | Campaign Shoot | Mix | Mix | Summer | PDP | Deepak Maurya,India,India,6824.96,6824.96,27400.0,6739.0,0.0,227.0,27000.0,13.0,0.0,0.0,0.0,0.0,,1.0,105400.0,,-0.0,1.0,
Brand A,,Growify | MOF + BOF | Engagemnet | INTL,,Whatsapp | Customer Data,Custom | Single Image | Campaign Shoot | Kurta Sets | Sofia's Garden | Summer | PDP | Deepak Maurya,United States,USA,191.13,191.13,8.0,120.0,,0.0,324.0,-0.0,0.0,0.0,,0.0,,1.0,0.0,,0.0,1.0,
Brand A,,Growify | MOF + BOF | Engagemnet | INTL,PAUSED,Whatsapp | Customer Data,Custom | Video | Influencer | Kurta Set | J'adore | Summer | PDP | Hasan,  UNITED STATES  ,USA,445.13,445.13,,,0.0,0.0,4.0,,0.0,-0.0,0.0,0.0,,756.0,0.0,,0.0,1.0,
Brand A,,Growify | 2nd December | ABO | Sale,PAUSED,TOF | OPEN | Sale | Women,Catalogue | Best Seller | In Stock,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,8600.0,0.0,,,
Brand A,,Growify | 4th October | TOF | INDIA | Sales,PAUSED,TOF | OPEN | Sale | Women,Video | Karishma kapoor | 23rd October 25,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,
brand a,,Growify | 6th October 2025 | TOF | Engagement,PAUSED,MOF-BOF | Retarget | Message - Video,Existing Reel | Pooja hedge | 4th Nov 25,India,India,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
  BRAND A  ,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Engaged,Video | esha | – Copy,  INDIA  ,India,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Travel,Video | esha | – Copy,India,India,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,1.0,
Brand A,,Growify | TOF | INDIA | OPEN | SALES,PAUSED,TOF | OPEN | Sale | Women - 2,Catalogue | Set + Dress || Active | Instock – Copy 2,India,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,
Brand A,,Growify | 3rd Feb | TOF | CPR | SALES | New Cohorts,PAUSED,TOF | INDIA | IOS | CPR,Video | esha | – Copy 2,India,India,0.01,0.01,-0.0,145.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Brand A,,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,Video | esha | – Copy,India,India,8.88,8.88,9.0,63.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,1.0,
brand a,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Hotel,Video | esha | – Copy,,India,26.68,26.68,0.0,251.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Brand A,  NAN  ,Growify | 3rd Feb | TOF | CPR | SALES | New Cohorts,PAUSED,TOF | INDIA | IOS | CPR,Video | Divyaboppana | 3rd Feb 26 – Copy,India,India,,6856.91,2.0,5510.0,0.0,2.0,216.0,0.0,,,0.0,0.0,,-0.0,0.0,,,1.0,
Brand A,,  GROWIFY | 3RD FEB | TOF | CPR | SALES | NEW COHORTS  ,PAUSED,TOF | INDIA | Beauty and Personal Care | CPR,,  INDIA  ,India,47.92,47.92,2.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,
Brand A,,Growify | TOF | Traffic | India,ACTIVE,Ecomm | Women Innerwear,Custom | Video | Celeb | Kurta Set | Cotswold | Summer | PDP | Hasan,  INDIA  ,India,,73.91,18.0,277.0,0.0,16.0,16.0,1188.0,0.0,0.0,0.0,0.0,,0.0,44700.0,,0.0,1.0,
Brand A,,Growify | 3rd Feb | TOF | CPR | SALES | New Cohorts,PAUSED,TOF | INDIA | IOS | CPR,Video | Divyaboppana | 3rd Feb 26 – Copy,India,India,92.55,92.55,7.0,91.0,,6.0,6.0,0.0,,,0.0,0.0,,1.0,0.0,,,-1.0,
Brand A,,Growify | 3rd Feb | TOF | CPR | SALES | New Cohorts,PAUSED,TOF | INDIA | Apparel | CPR,Video | esha | – Copy 2,India,India,108.89,16442.39,400.0,,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,
Brand A,,Growify | 3rd Feb | TOF | CPR | SALES | New Cohorts,PAUSED,TOF | INDIA | Home Essential | CPR,Video | Divyaboppana | 3rd Feb 26 – Copy,India,India,142.53,,4.0,177.0,0.0,2.0,216.0,3.0,0.0,0.0,0.0,0.0,,1.0,34200.0,,0.0,1.0,
Brand A,,Growify | 3rd Feb | TOF | CPR | SALES | New Cohorts,PAUSED,TOF | INDIA | Home Essential | CPR,Video | Divyaboppana | 3rd Feb 26 – Copy,india,India,228.27,228.27,7.0,341.0,0.0,4.0,432.0,4.0,,,0.0,0.0,,0.0,31600.0,,,,
Brand A,,Growify | TOF | Traffic | India,ACTIVE,ecomm | women innerwear,Custom | Video | Celeb | Kurta Set | Cotswold | Summer | PDP | Hasan,India,  INDIA  ,237.98,237.98,,,0.0,42.0,45.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,
Brand A,,Growify | MOF + BOF | Conversion | India,ACTIVE,Ecomm | MOF + BOF,Catalog | CAR | Campaign Shoot | Mix | Mix | Summer | PDP | Deepak Maurya,India,India,1270.53,1270.53,74.0,1457.0,0.0,55.0,70.0,4.0,,,0.0,0.0,,0.0,,,,1.0,
Brand A,  NAN  ,,  ACTIVE  ,Ecomm | Apparel,Catalogue | Best Seller | In Stock,India,India,1339.93,202329.43,64.0,4842.0,-0.0,,58.0,3.0,,,0.0,0.0,,1.0,25800.0,,,1.0,
Brand A,  NAN  ,Growify | TOF | Conversion | India,ACTIVE,Ecomm | OTT & Social,Catalog | CAR | Campaign Shoot | Kurta Sets | Mix | Summer | PDP | Deepak Maurya,India,  INDIA  ,1776.1,268191.1,84.0,2203.0,0.0,70.0,80.0,6.0,0.0,,0.0,0.0,,0.0,52800.0,0.0,,66.0,
Brand A,,,ACTIVE,Ecomm | MOF + BOF,Catalog | CAR | Campaign Shoot | Mix | Mix | Summer | PDP | Deepak Maurya,India,India,,2187.38,118.0,337560.0,0.0,106.0,104.0,10.0,0.0,-0.0,0.0,0.0,,0.0,84500.0,0.0,0.0,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Apparel,Catalogue | Best Seller | In Stock,India,India,2699.64,2699.64,119.0,6040.0,0.0,102.0,110.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,-1.0,
